playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8480012,Elias Pettersson,20182019,VAN,28,38,66,3,10,22,7,1,144,1598,0,0,12,17.888262910798122,71,0.9295774647887324,0.39436619718309857,0.5352112676056338,2.028169014084507,C,81,35,3.2607502759592553
8483808,Andrei Kuzmenko,20222023,VAN,39,35,74,9,14,19,4,2,143,1589,0,0,8,16.241769547325102,81,0.9135802469135802,0.48148148148148145,0.43209876543209874,1.7654320987654322,LW,83,38,2.7196460503971225
8478402,Connor McDavid,20152016,EDM,16,32,48,-1,3,14,5,1,105,1030,0,0,18,18.884814814814813,45,1.0666666666666667,0.35555555555555557,0.7111111111111111,2.3333333333333335,C,70,31,2.6657243928287966
8478864,Kirill Kaprizov,20202021,MIN,27,24,51,10,8,13,3,2,157,1052,0,0,16,17.861212121212123,55,0.9272727272727272,0.4909090909090909,0.43636363636363634,2.8545454545454545,LW,75,35,2.656988402682735
8481557,Matt Boldy,20212022,MIN,15,24,39,17,3,10,2,0,113,784,0,0,10,15.38368794326241,47,0.8297872340425532,0.3191489361702128,0.5106382978723404,2.404255319148936,LW,113,53,2.6082265763895722
8484144,Connor Bedard,20232024,CHI,15,18,33,-22,1,8,2,1,118,742,0,0,12,19.06752136752137,39,0.8461538461538461,0.38461538461538464,0.46153846153846156,3.0256410256410255,C,49,14,2.565713262119152
8476346,Johnny Gaudreau,20142015,CGY,24,40,64,11,8,21,4,0,167,1971,0,0,14,16.816875,80,0.8,0.3,0.5,2.0875,LW,97,45,2.506737771304493
8480027,Jason Robertson,20202021,DAL,17,28,45,13,1,6,3,1,127,1074,0,0,16,16.886601307189544,51,0.8823529411764706,0.3333333333333333,0.5490196078431373,2.4901960784313726,LW,60,23,2.429607156097034
8478109,Victor Olofsson,20192020,BUF,20,22,42,-1,11,17,4,1,127,1163,0,0,6,17.9391975308642,54,0.7777777777777778,0.37037037037037035,0.4074074074074074,2.3518518518518516,LW,68,30,2.372623964452345
8478438,Tommy Novak,20222023,NSH,17,26,43,5,5,12,3,1,93,872,0,0,8,14.65326797385621,51,0.8431372549019608,0.3333333333333333,0.5098039215686274,1.8235294117647058,C,92,42,2.370839104632073
8478444,Brock Boeser,20172018,VAN,29,26,55,-5,10,23,4,0,179,1396,0,0,16,17.49247311827957,62,0.8870967741935484,0.46774193548387094,0.41935483870967744,2.8870967741935485,RW,73,31,2.2582732202493307
8478550,Artemi Panarin,20152016,CHI,30,47,77,8,8,24,7,1,187,1820,0,0,32,18.52041666666667,80,0.9625,0.375,0.5875,2.3375,LW,103,47,2.2384199316299793
8477492,Nathan MacKinnon,20132014,COL,24,39,63,20,8,17,5,0,241,1735,0,0,26,17.34410569105691,82,0.7682926829268293,0.2926829268292683,0.47560975609756095,2.9390243902439024,C,112,52,2.184345232539203
8479339,Patrik Laine,20162017,WPG,36,28,64,7,9,14,5,1,204,1633,0,0,26,17.912557077625568,73,0.8767123287671232,0.4931506849315068,0.3835616438356164,2.7945205479452055,LW,87,40,1.9860643234601918
8482078,Lucas Raymond,20212022,DET,23,34,57,-32,5,18,2,2,184,1687,0,0,16,17.864227642276422,82,0.6951219512195121,0.2804878048780488,0.4146341463414634,2.2439024390243905,LW,74,32,1.9077199966806013
8479318,Auston Matthews,20162017,TOR,40,29,69,2,8,21,8,1,279,1894,0,0,14,17.63109756097561,82,0.8414634146341463,0.4878048780487805,0.35365853658536583,3.402439024390244,C,95,40,1.8241064984454718
8482113,Anton Lundell,20212022,FLA,18,26,44,33,1,4,4,0,125,1371,1,4,18,15.737179487179487,65,0.676923076923077,0.27692307692307694,0.4,1.9230769230769231,C,122,58,1.8130524556433052
